country,year,cream_direct_consumption_1000t,processed_drinking_milk_1000t,milk_delivered_to_dairies_1000t
Greece,2019,11.0,391.8,631.1
Greece,2020,11.38,382.59,652.18
Greece,2021,12.77,380.26,659.92
Greece,2022,14.36,374.81,647.78
Greece,2023,15.3,360.79,628.75
Greece,2024,15.72,346.68,618.87
Greece,2025,14.96,341.21,602.73
Hungary,2016,6.35,512.96,1547.14
Hungary,2017,5.89,525.73,1545.46
Hungary,2018,5.98,520.26,1535.3
Hungary,2019,8.31,531.43,1575.72
Hungary,2020,9.9,556.52,1625.67
Hungary,2021,10.04,522.06,1739.26
Hungary,2022,10.98,537.84,1700.27
Hungary,2023,12.27,520.54,1652.19
Hungary,2024,10.12,518.9,1730.93
Hungary,2025,16.14,471.64,1847.62
Iceland,2017,2.92,33.09,155.65
Iceland,2018,3.1,31.76,156.98
Iceland,2019,3.29,29.72,156.39
Iceland,2020,3.31,29.4,155.5
Iceland,2021,3.26,28.87,153.29
Iceland,2022,3.21,27.72,150.74
Iceland,2023,3.12,28.49,155.98
Iceland,2024,3.06,28.6,158.14
Iceland,2025,3.04,28.94,
Ireland,2016,16.41,542.75,6851.63
Ireland,2017,16.75,554.12,7475.42
Ireland,2018,19.94,552.76,7810.24
Ireland,2019,20.95,549.42,8226.62
Ireland,2020,18.84,541.11,8542.27
Ireland,2021,25.99,521.48,9018.37
Ireland,2022,31.65,518.23,9086.73
Ireland,2023,,512.56,8709.56
Ireland,2024,,493.39,8678.63
Ireland,2025,36.17,500.49,9097.63
Italy,2016,131.29,2459.51,10773.15
Italy,2017,132.12,2459.03,11902.24
Italy,2018,141.48,2469.58,12070.75
Italy,2019,136.12,2298.86,11965.01
Italy,2020,135.75,2313.83,11894.79
Italy,2021,149.83,2481.46,13042.03
Italy,2022,148.57,2521.6,12808.16
Italy,2023,150.98,2509.71,12802.08
Italy,2024,159.89,2467.42,12958.05
Italy,2025,165.75,2509.42,12851.33
Latvia,2016,35.99,61.98,814.01
Latvia,2017,42.89,55.85,813.46
Latvia,2018,27.7,42.08,780.64
Latvia,2019,27.58,41.98,785.2
Latvia,2020,27.04,42.07,790.5
Latvia,2021,26.95,37.26,812.65
Latvia,2022,24.07,27.08,810.91
Latvia,2023,23.01,34.5,828.72
Latvia,2024,23.0,32.91,833.69
Latvia,2025,23.11,34.63,838.29
Lithuania,2016,23.39,93.49,1416.31
Lithuania,2017,14.67,89.19,1403.06
Lithuania,2018,,87.48,1366.59
Lithuania,2019,,86.1,1358.09
Lithuania,2020,,86.34,1359.69
Lithuania,2021,,83.69,1348.85
Lithuania,2022,,68.94,1363.24
Lithuania,2023,,64.16,1351.84
Lithuania,2024,4.16,65.19,1396.16
Lithuania,2025,,62.5,1429.48
Luxembourg,2016,,,361.99
Luxembourg,2017,,,374.34
Luxembourg,2018,,,394.78
Luxembourg,2019,,,
Luxembourg,2020,,,
Luxembourg,2021,,,
Luxembourg,2022,,,
Luxembourg,2023,,,
Luxembourg,2024,,,
Luxembourg,2025,,,
Malta,2016,,,43.13
Malta,2017,,,41.02
Malta,2018,,,40.41
Malta,2019,,,41.51
Malta,2020,,,42.19
Malta,2021,,,39.54
Malta,2022,,,38.97
Malta,2023,,,37.3
Malta,2024,,,38.16
Malta,2025,,,36.72
Montenegro,2016,0.85,4.31,24.56
Montenegro,2017,0.84,4.0,25.96
Montenegro,2018,0.95,3.9,28.31
Montenegro,2019,1.05,3.96,27.96
Montenegro,2020,0.96,3.66,28.83
Montenegro,2021,0.67,3.46,26.29
Montenegro,2022,0.91,3.17,25.32
Montenegro,2023,1.02,3.01,27.81
Montenegro,2024,0.95,2.41,22.1
Montenegro,2025,0.91,2.12,
Netherlands,2016,,,14324.2
Netherlands,2017,,,14295.9
Netherlands,2018,,,13880.8
Netherlands,2019,,,13801.9
Netherlands,2020,,,13986.6
Netherlands,2021,,,13603.4
Netherlands,2022,,,13762.0
Netherlands,2023,,,13893.9
Netherlands,2024,,,13660.2
Netherlands,2025,,,13924.33
North Macedonia,2019,6.18,36.12,115.59
North Macedonia,2021,3.32,31.81,132.52
North Macedonia,2023,2.39,22.34,116.4
North Macedonia,2024,4.07,27.17,118.11
North Macedonia,2025,2.62,16.92,
Norway,2016,24.3,420.5,1572.1
Norway,2017,23.5,408.2,1542.8
Norway,2018,24.1,398.8,1565.2
Norway,2019,25.7,396.1,1526.36
Norway,2020,25.9,400.6,1545.06
Norway,2024,26.2,350.1,1244.4
Norway,2025,25.6,346.2,
Poland,2016,258.72,1658.35,11129.96
Poland,2017,264.8,1732.69,11647.09
Poland,2018,262.15,1776.8,11945.62
Poland,2019,254.52,1891.9,12174.96
Poland,2020,259.43,1986.72,12457.39
Poland,2021,259.89,1958.32,12515.42
Poland,2022,265.67,1978.31,12778.58
Poland,2023,261.56,1919.64,13020.61
Poland,2024,264.09,1908.6,13525.65
Poland,2025,269.21,1941.01,13792.2
Portugal,2016,20.42,715.83,1842.76
Portugal,2017,20.94,720.66,1850.79
Portugal,2018,23.5,766.23,1894.21
Portugal,2019,22.81,695.96,1892.01
Portugal,2020,25.25,714.55,1919.51
Portugal,2021,25.78,662.7,1909.09
Portugal,2022,25.87,648.31,1850.74
Portugal,2023,25.7,667.87,1891.32
Portugal,2024,25.06,612.82,1878.68
Portugal,2025,26.18,613.15,1889.75
Romania,2016,69.83,276.36,953.41
Romania,2017,66.46,289.96,1028.33
Romania,2018,66.43,306.22,1109.31
Romania,2019,68.12,331.34,1122.33
Romania,2020,68.32,358.07,1134.9
Romania,2021,67.75,387.21,1125.66
Romania,2022,64.98,370.12,1133.8
Romania,2023,66.23,358.55,1204.55
Romania,2024,70.71,374.9,1260.1
Romania,2025,69.75,386.53,1207.1
Serbia,2016,29.71,235.66,844.66
Serbia,2017,28.21,225.27,862.07
Serbia,2018,27.42,228.9,866.97
Serbia,2019,29.04,209.73,873.95
Serbia,2020,32.37,234.68,907.65
Serbia,2021,32.86,208.97,891.8
Serbia,2023,32.03,195.54,796.76
Serbia,2024,34.67,222.06,844.21
Serbia,2025,34.4,229.26,
Slovakia,2016,31.06,251.16,822.74
Slovakia,2017,30.46,248.43,825.89
Slovakia,2018,28.38,242.92,818.22
Slovakia,2019,27.72,227.58,814.73
Slovakia,2020,29.63,255.18,833.79
Slovakia,2021,32.06,243.94,822.96
Slovakia,2022,32.43,229.93,823.94
Slovakia,2023,34.49,242.23,807.42
Slovakia,2024,33.83,250.2,813.45
Slovakia,2025,31.71,253.78,825.89
Slovenia,2016,12.11,157.16,574.71
Slovenia,2017,12.2,177.05,578.85
Slovenia,2018,12.15,168.04,570.64
Slovenia,2019,12.15,164.42,563.97
Slovenia,2020,11.92,157.93,580.11
Slovenia,2021,11.98,160.66,588.77
Slovenia,2022,10.51,149.58,574.96
Slovenia,2023,10.16,143.86,558.86
Slovenia,2024,10.82,140.16,564.83
Slovenia,2025,10.76,137.73,570.04
Spain,2016,129.5,3564.34,6863.71
Spain,2017,122.81,3607.89,7013.9
Spain,2018,106.55,3256.99,7120.8
Spain,2019,133.53,3134.98,7265.21
Spain,2020,169.85,3583.36,7427.61
Spain,2021,162.92,3976.82,7471.71
