country,year,butter_prod_1000t
Montenegro,2017,0.0
Montenegro,2018,0.0
Montenegro,2019,0.14
North Macedonia,2018,0.32
North Macedonia,2019,0.53
Malta,2013,
Malta,2014,
Malta,2015,0.0
Malta,2016,0.0
Malta,2017,0.0
Malta,2018,0.0
Malta,2019,0.0
Malta,2020,0.0
Malta,2021,0.0
Malta,2022,0.0
Malta,2023,0.0
Malta,2024,0.0
Netherlands,2013,199.19
Netherlands,2014,206.56
Netherlands,2015,236.0
Netherlands,2016,248.0
Netherlands,2017,248.0
Netherlands,2018,247.0
Netherlands,2019,229.53
Netherlands,2020,220.71
Netherlands,2021,217.69
Netherlands,2022,214.25
Netherlands,2023,206.7
Netherlands,2024,
Norway,2014,17.3
Norway,2015,19.4
Norway,2016,19.7
Norway,2017,18.4
Norway,2018,19.1
Norway,2019,20.0
Norway,2020,18.2
Norway,2021,21.9
Norway,2022,22.1
Norway,2023,19.5
Norway,2024,20.6
Poland,2013,161.03
Poland,2014,167.17
Poland,2015,187.82
Poland,2016,204.36
Poland,2017,213.72
Poland,2018,222.66
Poland,2019,224.45
Poland,2020,243.39
Poland,2021,232.17
Poland,2022,247.23
Poland,2023,264.95
Poland,2024,258.06
Portugal,2013,25.73
Portugal,2014,28.11
Portugal,2015,32.29
Portugal,2016,30.78
Portugal,2017,32.04
Portugal,2018,31.08
Portugal,2019,30.46
Portugal,2020,31.87
Portugal,2021,31.5
Portugal,2022,27.49
Portugal,2023,31.59
Portugal,2024,31.93
Romania,2013,9.8
Romania,2014,10.59
Romania,2015,11.2
Romania,2016,11.93
Romania,2017,12.11
Romania,2018,10.87
Romania,2019,8.86
Romania,2020,10.22
Romania,2021,9.48
Romania,2022,8.93
Romania,2023,9.33
Romania,2024,11.77
Serbia,2014,6.5
Serbia,2015,4.78
Serbia,2016,3.96
Serbia,2017,3.97
Serbia,2018,4.17
Serbia,2020,5.35
Serbia,2021,5.28
Serbia,2022,4.97
Serbia,2023,4.39
Serbia,2024,4.16
Sweden,2013,34.71
Sweden,2014,37.56
Sweden,2015,40.33
Sweden,2016,41.04
Sweden,2017,40.24
Sweden,2018,37.59
Sweden,2019,38.37
Sweden,2020,38.69
Sweden,2021,38.45
Sweden,2022,39.78
Sweden,2023,40.98
Sweden,2024,40.41
Slovenia,2013,2.29
Slovenia,2014,2.32
Slovenia,2015,2.26
Slovenia,2016,2.37
Slovenia,2017,2.74
