country,year,bovine_pop_1000
Italy,2021,1761.55
Italy,2022,1725.29
Italy,2023,1663.0
Italy,2024,1645.0
Italy,2025,1586.0
Lithuania,2025,170.46
Netherlands,2016,1691.6
Netherlands,2017,1602.41
Netherlands,2018,1560.39
Netherlands,2019,1536.07
Netherlands,2020,1558.12
Netherlands,2021,1523.47
Netherlands,2022,1546.49
Netherlands,2023,1507.43
Netherlands,2024,1485.0
Netherlands,2025,1394.38
Poland,2016,1728.0
Poland,2017,1721.0
Poland,2018,1686.0
Poland,2019,1771.0
Poland,2020,1729.0
Poland,2021,1789.0
Poland,2022,1915.9
Poland,2023,1855.42
Poland,2024,1881.57
Poland,2025,1838.21
Portugal,2016,521.33
Portugal,2017,537.16
Portugal,2018,529.26
Portugal,2019,523.88
Portugal,2020,557.31
Portugal,2021,549.6
Portugal,2022,554.04
Portugal,2023,510.5
Portugal,2024,487.39
Portugal,2025,492.08
Romania,2016,480.9
Romania,2017,454.4
Romania,2018,444.3
Romania,2019,428.4
Romania,2020,418.4
Romania,2021,386.3
Romania,2022,378.9
Romania,2023,370.1
Romania,2024,358.1
Romania,2025,351.9
Serbia,2025,196.8
Sweden,2016,475.2
Sweden,2017,472.16
Sweden,2018,474.82
Sweden,2019,450.63
Sweden,2020,462.15
Sweden,2021,465.21
Sweden,2022,457.7
Sweden,2023,458.49
Sweden,2024,443.84
Sweden,2025,435.78
Türkiye,2016,3501.46
Türkiye,2017,3767.81
Türkiye,2018,4494.93
Türkiye,2019,4699.13
Türkiye,2020,4722.77
Türkiye,2021,4594.52
Türkiye,2022,4417.19
Türkiye,2023,4061.11
Türkiye,2024,4031.73
Türkiye,2025,4082.12
United Kingdom,2016,2989.0
United Kingdom,2017,2940.0
United Kingdom,2018,2908.0
United Kingdom,2019,2857.0
United Kingdom,2020,2878.0
Austria,2016,148.08
Austria,2017,152.06
Austria,2018,147.85
Austria,2019,146.22
Austria,2020,145.05
Austria,2021,147.81
Austria,2022,38.85
Austria,2023,36.12
Austria,2024,35.25
Austria,2025,32.46
Belgium,2016,183.86
Belgium,2017,160.61
Belgium,2018,163.46
Belgium,2019,161.01
Belgium,2020,166.95
Belgium,2021,168.04
Belgium,2022,154.41
Belgium,2023,161.92
Belgium,2024,166.52
Belgium,2025,155.88
Switzerland,2016,239.91
Switzerland,2017,243.45
Switzerland,2018,246.25
Switzerland,2019,246.09
