Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1971","1971","t","32138","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1971","1971","1000 USD","35957","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1972","1972","t","137","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1972","1972","1000 USD","164","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1972","1972","t","37659","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1972","1972","1000 USD","45139","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1973","1973","t","330","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1973","1973","1000 USD","312","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1973","1973","t","48724","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1973","1973","1000 USD","50951","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1974","1974","t","987","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1974","1974","1000 USD","1026","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1974","1974","t","39388","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1974","1974","1000 USD","49747","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1975","1975","t","909","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1975","1975","1000 USD","1568","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1975","1975","t","57156","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1975","1975","1000 USD","100297","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1976","1976","t","1807","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1976","1976","1000 USD","3364","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1976","1976","t","67296","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1976","1976","1000 USD","124302","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1977","1977","t","1510","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1977","1977","1000 USD","3364","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1977","1977","t","51008","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1977","1977","1000 USD","105300","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1978","1978","t","1270","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1978","1978","1000 USD","3095","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1978","1978","t","83405","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1978","1978","1000 USD","223173","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1979","1979","t","1702","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1979","1979","1000 USD","5110","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1979","1979","t","118721","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1979","1979","1000 USD","320104","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1980","1980","t","2970","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1980","1980","1000 USD","11444","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1980","1980","t","90454","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1980","1980","1000 USD","260228","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1981","1981","t","5367","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1981","1981","1000 USD","17604","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1981","1981","t","80890","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1981","1981","1000 USD","247451","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1982","1982","t","1801","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1982","1982","1000 USD","4910","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1982","1982","t","79612","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1982","1982","1000 USD","235742","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1983","1983","t","3036","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1983","1983","1000 USD","9537","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1983","1983","t","81885","A","Official figure",""
