Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Indicator Code,Member State Code,Member State Name,Time Period,Data,Flag
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2018,3633577996,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,SI,Slovenia,2014,135982928,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FR,France,2021,6853567799,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LU,Luxembourg,2019,32841037,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FI,Finland,2020,517274235,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LT,Lithuania,2022,582978217,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2020,1883694891,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2018,1847389334,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2021,1889428934,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FI,Finland,2018,523063094,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,EU,European Union,2017,38363672844,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,CY,Cyprus,2017,49444714,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LT,Lithuania,2018,468921252,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,CZ,Czechia,2014,882457471,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,HR,Croatia,2022,399114103,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,SI,Slovenia,2016,135770967,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IE,Ireland,2017,1197015135,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,SI,Slovenia,2020,132502720,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LT,Lithuania,2015,409894533,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2017,1774565555,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,CY,Cyprus,2014,51135162,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LU,Luxembourg,2021,32990921,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,BG,Bulgaria,2016,774080205,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,CY,Cyprus,2015,49788828,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FR,France,2017,7193521695,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,BG,Bulgaria,2022,803493011,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LT,Lithuania,2014,393738758,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2021,3543905592,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,RO,Romania,2016,1690659153,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,BG,Bulgaria,2021,789168856,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LT,Lithuania,2017,462508695,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FI,Finland,2014,524997048,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2019,3599133346,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,BG,Bulgaria,2019,781855246,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2022,3551963907,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IT,Italy,2020,3554260058,
