DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Estonia,2016,1735,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Estonia,2017,1795,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Estonia,2018,1711,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Estonia,2019,1612,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Estonia,2020,1436,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2015,5540,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2016,6644,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2017,6187,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2018,6573,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2019,7267,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Spain,2020,7664,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Finland,2015,23,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Finland,2018,8,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Finland,2019,8,d,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Finland,2020,37,d,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2015,5783,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2016,2871,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2017,3524,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2018,4233,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2019,4439,e,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),France,2020,4309,e,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2015,265,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2016,1753,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2017,1721,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2018,2088,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2019,2234,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Croatia,2020,2551,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Ireland,2015,77,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Ireland,2017,426,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Ireland,2019,736,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Ireland,2020,565,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Iceland,2017,0,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Italy,2015,14349,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2015,351,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2016,67,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2017,422,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2018,412,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2019,432,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Lithuania,2020,414,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Luxembourg,2015,115,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live horses,Head (animal),Luxembourg,2016,124,,
