DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2018,64.68,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2019,112.35,b,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2020,122.83,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2021,109.73,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2022,107.89,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2023,119.86,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Belgium,2024,128.26,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2013,1.11,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2014,1.00,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2015,0.97,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2016,0.89,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2017,1.06,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2018,1.07,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2019,1.09,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2020,1.03,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2021,1.26,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2022,1.34,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2023,0.95,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Bulgaria,2024,0.98,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2013,46.53,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2014,48.34,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2015,47.55,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2016,48.32,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2017,43.81,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2018,44.03,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2019,42.50,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2020,42.54,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2021,39.59,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2022,37.33,b,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2023,45.51,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Switzerland,2024,45.64,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Cyprus,2013,0.01,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Cyprus,2014,0.02,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Cyprus,2015,0.03,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Cyprus,2016,0.03,,
ESTAT:TAG00038(1.0),07/10/25 23:00:00,Annual,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",Products obtained (1 000 t),Cyprus,2017,0.03,,
